threshold,precision,recall,f1_score,iou,pred_changed_pixels,gt_changed_pixels,pred_changed_pct,tp,fp,fn,tn
0.1,0.0978,0.9961,0.1781,0.0977,1281903,125818,97.8,125332,1156571,486,28331
0.15,0.1037,0.9844,0.1876,0.1035,1194410,125818,91.13,123852,1070558,1966,114344
0.2,0.1148,0.9485,0.2048,0.1141,1039447,125818,79.3,119337,920110,6481,264792
0.25,0.1284,0.872,0.2238,0.126,854703,125818,65.21,109715,744988,16103,439914
0.3,0.1388,0.7356,0.2335,0.1322,666800,125818,50.87,92558,574242,33260,610660
0.35,0.1427,0.5649,0.2278,0.1286,497961,125818,37.99,71070,426891,54748,758011
0.4,0.142,0.399,0.2095,0.117,353574,125818,26.98,50202,303372,75616,881530
0.42,0.1415,0.3422,0.2002,0.1113,304238,125818,23.21,43061,261177,82757,923725
0.45,0.1379,0.2605,0.1803,0.0991,237685,125818,18.13,32774,204911,93044,979991
0.5,0.1315,0.1565,0.1429,0.0769,149717,125818,11.42,19687,130030,106131,1054872
0.55,0.1284,0.092,0.1072,0.0566,90090,125818,6.87,11572,78518,114246,1106384
0.6,0.1246,0.0521,0.0735,0.0381,52598,125818,4.01,6555,46043,119263,1138859
